id,collection,sector,slug,scope,risk,file,source,license
00-foundation-and-methods-prompt-governance-sector-expert,00-foundation-and-methods,Prompt Governance,prompt-governance,"prompt standards, metadata, licensing, privacy, security, versioning, approval, deprecation and lifecycle management",medium,prompts/00-foundation-and-methods/prompt-governance/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-prompt-engineering-sector-expert,00-foundation-and-methods,Prompt Engineering,prompt-engineering,"prompt creation, decomposition, structured instructions, examples, constraints and model adaptation",medium,prompts/00-foundation-and-methods/prompt-engineering/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-prompt-evaluation-testing-sector-expert,00-foundation-and-methods,Prompt Evaluation and Testing,prompt-evaluation-testing,"rubrics, test cases, regression testing, model comparison, safety, cost, latency and quality gates",medium,prompts/00-foundation-and-methods/prompt-evaluation-testing/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-research-fact-checking-sector-expert,00-foundation-and-methods,Research and Fact-Checking,research-fact-checking,"research planning, source discovery, evidence evaluation, citation, verification and synthesis",medium,prompts/00-foundation-and-methods/research-fact-checking/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-analysis-reasoning-sector-expert,00-foundation-and-methods,Analysis and Reasoning,analysis-reasoning,"qualitative and quantitative analysis, causal reasoning, trade-offs, scenarios and synthesis",medium,prompts/00-foundation-and-methods/analysis-reasoning/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-decision-making-sector-expert,00-foundation-and-methods,Decision-Making,decision-making,"decision framing, criteria, option comparison, uncertainty, ethics and recommendations",medium,prompts/00-foundation-and-methods/decision-making/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-planning-roadmapping-sector-expert,00-foundation-and-methods,Planning and Roadmapping,planning-roadmapping,"goals, milestones, dependencies, resources, schedules and contingencies",medium,prompts/00-foundation-and-methods/planning-roadmapping/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-problem-solving-sector-expert,00-foundation-and-methods,Problem-Solving,problem-solving,"problem definition, root-cause analysis, ideation, experimentation and corrective action",medium,prompts/00-foundation-and-methods/problem-solving/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-evaluation-assessment-sector-expert,00-foundation-and-methods,Evaluation and Assessment,evaluation-assessment,"criteria, rubrics, audits, reviews, benchmarking and feedback",medium,prompts/00-foundation-and-methods/evaluation-assessment/sector-expert.md,original,CC0-1.0
00-foundation-and-methods-communication-sector-expert,00-foundation-and-methods,Communication,communication,"audience analysis, messaging, emails, reports, presentations, facilitation and difficult conversations",medium,prompts/00-foundation-and-methods/communication/sector-expert.md,original,CC0-1.0
